COMBO_NAME	ACC
MLP combo0	60.185	66.152	57.407	63.477	54.835	60.391	
MLP combo1	60.905	66.77	44.959	64.918	44.753	63.066	
MLP combo2	61.008	64.609	45.165	62.346	49.486	61.008	
MLP combo3	62.654	66.255	46.605	63.169	50.206	60.185	
MLP combo4	45.165	45.165	45.165	54.835	54.835	53.909	
MLP combo5	59.671	67.078	58.745	63.889	58.23	62.551
MLP combo6	54.012	65.844	54.733	62.551	51.029	61.42	
MLP combo7	61.934	66.461	45.576	62.963	45.062	62.243	
MLP combo8	58.539	66.358	57.51	62.243	53.086	62.346	
MLP combo9	59.362	63.169	47.119	65.021	55.247	64.403	
MLP combo10	60.802	66.872	59.156	64.095	59.053	64.918	
MLP combo11	59.774	68.107	54.835	63.477	57.716	63.066	

