COMBO_NAME	ACC
LSTM combo0	46.811	54.835	51.646	54.63	51.646	52.778
LSTM combo1	46.193	52.058	48.971	52.16	50.206	50.309
LSTM combo2	53.601	52.778	50.926	50.926	48.868	50.206
LSTM combo3	52.469	52.778	52.881	49.177	50.206	51.955
LSTM combo4	51.337	59.156	52.366	48.971	50.514	50.617
LSTM combo5	48.868	48.868	49.486	51.132	48.765	51.13
