COMBO_NAME  ACC
combo0  54.835
combo1  44.753
combo2  49.486
combo3  50.206
combo4  54.835
combo5  58.23
combo6  51.029
combo7  45.062
combo8  53.086
combo9  55.247
combo10 59.053
combo11 57.716
